STATISTIC,Statistic Label,C02196V02652,Region,C03371V04073,Income Type,TLIST(A1),Year,UNIT,VALUE
HS067,Average Weekly Household Income,IE22,Mid-East,20,Disposable income (A+B-C),2015,2015,Euro,1030.05
HS067,Average Weekly Household Income,IE23,Mid-West,01,Employees-wages/salaries,2015,2015,Euro,588.29
HS067,Average Weekly Household Income,IE23,Mid-West,02,Self-employed income,2015,2015,Euro,117.27
HS067,Average Weekly Household Income,IE23,Mid-West,03,Retirement pensions,2015,2015,Euro,67.43
HS067,Average Weekly Household Income,IE23,Mid-West,04,Investment income,2015,2015,Euro,8.26
HS067,Average Weekly Household Income,IE23,Mid-West,05,Property income,2015,2015,Euro,8.7
HS067,Average Weekly Household Income,IE23,Mid-West,06,Own garden/farm produce (valued at retail prices),2015,2015,Euro,0.89
HS067,Average Weekly Household Income,IE23,Mid-West,07,Other direct income,2015,2015,Euro,12.92
HS067,Average Weekly Household Income,IE23,Mid-West,08,Total direct income (A),2015,2015,Euro,803.77
HS067,Average Weekly Household Income,IE23,Mid-West,09,Child benefit,2015,2015,Euro,27.35
HS067,Average Weekly Household Income,IE23,Mid-West,10,Older people pensions,2015,2015,Euro,69.45
HS067,Average Weekly Household Income,IE23,Mid-West,11,"Widows, Widowers & Guardian payments",2015,2015,Euro,16.72
HS067,Average Weekly Household Income,IE23,Mid-West,12,Other long term social protection payments,2015,2015,Euro,31.45
HS067,Average Weekly Household Income,IE23,Mid-West,13,Jobseekers payments (including farm assist),2015,2015,Euro,34.67
HS067,Average Weekly Household Income,IE23,Mid-West,14,Carers' payments,2015,2015,Euro,8.29
HS067,Average Weekly Household Income,IE23,Mid-West,15,Education grants/scholarships/back to education allowance,2015,2015,Euro,6.51
HS067,Average Weekly Household Income,IE23,Mid-West,16,Other state transfers,2015,2015,Euro,15.11
HS067,Average Weekly Household Income,IE23,Mid-West,17,Total state transfers (B),2015,2015,Euro,209.55
HS067,Average Weekly Household Income,IE23,Mid-West,18,Gross income (A+B),2015,2015,Euro,1013.31
HS067,Average Weekly Household Income,IE23,Mid-West,19,Income tax & social insurance deductions (C),2015,2015,Euro,153.58
HS067,Average Weekly Household Income,IE23,Mid-West,20,Disposable income (A+B-C),2015,2015,Euro,859.73
HS067,Average Weekly Household Income,IE24,South-East,01,Employees-wages/salaries,2015,2015,Euro,527.2
HS067,Average Weekly Household Income,IE24,South-East,02,Self-employed income,2015,2015,Euro,127.72
HS067,Average Weekly Household Income,IE24,South-East,03,Retirement pensions,2015,2015,Euro,37.09
HS067,Average Weekly Household Income,IE24,South-East,04,Investment income,2015,2015,Euro,3.43
HS067,Average Weekly Household Income,IE24,South-East,05,Property income,2015,2015,Euro,12.77
HS067,Average Weekly Household Income,IE24,South-East,06,Own garden/farm produce (valued at retail prices),2015,2015,Euro,1.12
HS067,Average Weekly Household Income,IE24,South-East,07,Other direct income,2015,2015,Euro,10.3
HS067,Average Weekly Household Income,IE24,South-East,08,Total direct income (A),2015,2015,Euro,719.63
HS067,Average Weekly Household Income,IE24,South-East,09,Child benefit,2015,2015,Euro,29.78
HS067,Average Weekly Household Income,IE24,South-East,10,Older people pensions,2015,2015,Euro,69.36
HS067,Average Weekly Household Income,IE24,South-East,11,"Widows, Widowers & Guardian payments",2015,2015,Euro,14.68
HS067,Average Weekly Household Income,IE24,South-East,12,Other long term social protection payments,2015,2015,Euro,37.17
HS067,Average Weekly Household Income,IE24,South-East,13,Jobseekers payments (including farm assist),2015,2015,Euro,38.57
HS067,Average Weekly Household Income,IE24,South-East,14,Carers' payments,2015,2015,Euro,6.36
HS067,Average Weekly Household Income,IE24,South-East,15,Education grants/scholarships/back to education allowance,2015,2015,Euro,4.71
HS067,Average Weekly Household Income,IE24,South-East,16,Other state transfers,2015,2015,Euro,21.3
HS067,Average Weekly Household Income,IE24,South-East,17,Total state transfers (B),2015,2015,Euro,221.94
HS067,Average Weekly Household Income,IE24,South-East,18,Gross income (A+B),2015,2015,Euro,941.58
HS067,Average Weekly Household Income,IE24,South-East,19,Income tax & social insurance deductions (C),2015,2015,Euro,129.54
HS067,Average Weekly Household Income,IE24,South-East,20,Disposable income (A+B-C),2015,2015,Euro,812.03
HS067,Average Weekly Household Income,IE25,South-West,01,Employees-wages/salaries,2015,2015,Euro,639.64
HS067,Average Weekly Household Income,IE25,South-West,02,Self-employed income,2015,2015,Euro,93.53
HS067,Average Weekly Household Income,IE25,South-West,03,Retirement pensions,2015,2015,Euro,53.28
HS067,Average Weekly Household Income,IE25,South-West,04,Investment income,2015,2015,Euro,6.06
HS067,Average Weekly Household Income,IE25,South-West,05,Property income,2015,2015,Euro,6.31
HS067,Average Weekly Household Income,IE25,South-West,06,Own garden/farm produce (valued at retail prices),2015,2015,Euro,0.78
HS067,Average Weekly Household Income,IE25,South-West,07,Other direct income,2015,2015,Euro,9.63
HS067,Average Weekly Household Income,IE25,South-West,08,Total direct income (A),2015,2015,Euro,809.23
HS067,Average Weekly Household Income,IE25,South-West,09,Child benefit,2015,2015,Euro,26.8
HS067,Average Weekly Household Income,IE25,South-West,10,Older people pensions,2015,2015,Euro,55.22
HS067,Average Weekly Household Income,IE25,South-West,11,"Widows, Widowers & Guardian payments",2015,2015,Euro,12.86
HS067,Average Weekly Household Income,IE25,South-West,12,Other long term social protection payments,2015,2015,Euro,36.17
HS067,Average Weekly Household Income,IE25,South-West,13,Jobseekers payments (including farm assist),2015,2015,Euro,29.28
HS067,Average Weekly Household Income,IE25,South-West,14,Carers' payments,2015,2015,Euro,5.56
HS067,Average Weekly Household Income,IE25,South-West,15,Education grants/scholarships/back to education allowance,2015,2015,Euro,2.91
HS067,Average Weekly Household Income,IE25,South-West,16,Other state transfers,2015,2015,Euro,15.99
HS067,Average Weekly Household Income,IE25,South-West,17,Total state transfers (B),2015,2015,Euro,184.79
HS067,Average Weekly Household Income,IE25,South-West,18,Gross income (A+B),2015,2015,Euro,994.02
HS067,Average Weekly Household Income,IE25,South-West,19,Income tax & social insurance deductions (C),2015,2015,Euro,158.97
HS067,Average Weekly Household Income,IE25,South-West,20,Disposable income (A+B-C),2015,2015,Euro,835.05
