"STATISTIC","Statistic Label","C03387V04072","Expenditure type","C02553V03094","Household Size","TLIST(A1)","Year","UNIT","VALUE"
"HS208","Average weekly household expenditure","01010107","01.01.01.07 French bread","007","5 persons","2015","2015","Euro","0.47"
"HS208","Average weekly household expenditure","01010107","01.01.01.07 French bread","0091","6 + Persons","2015","2015","Euro","0.54"
"HS208","Average weekly household expenditure","01010108","01.01.01.08 Sandwiches (retail not takeaway)","-","All household sizes","2015","2015","Euro","0.29"
"HS208","Average weekly household expenditure","01010108","01.01.01.08 Sandwiches (retail not takeaway)","001","1 person","2015","2015","Euro","0.1"
"HS208","Average weekly household expenditure","01010108","01.01.01.08 Sandwiches (retail not takeaway)","003","2 persons","2015","2015","Euro","0.24"
"HS208","Average weekly household expenditure","01010108","01.01.01.08 Sandwiches (retail not takeaway)","004","3 persons","2015","2015","Euro","0.39"
"HS208","Average weekly household expenditure","01010108","01.01.01.08 Sandwiches (retail not takeaway)","006","4 persons","2015","2015","Euro","0.41"
"HS208","Average weekly household expenditure","01010108","01.01.01.08 Sandwiches (retail not takeaway)","007","5 persons","2015","2015","Euro","0.46"
"HS208","Average weekly household expenditure","01010108","01.01.01.08 Sandwiches (retail not takeaway)","0091","6 + Persons","2015","2015","Euro","0.5"
"HS208","Average weekly household expenditure","01010109","01.01.01.09 Other breads (e.g. garlic, pitta)","-","All household sizes","2015","2015","Euro","1.04"
"HS208","Average weekly household expenditure","01010109","01.01.01.09 Other breads (e.g. garlic, pitta)","001","1 person","2015","2015","Euro","0.37"
"HS208","Average weekly household expenditure","01010109","01.01.01.09 Other breads (e.g. garlic, pitta)","003","2 persons","2015","2015","Euro","0.76"
"HS208","Average weekly household expenditure","01010109","01.01.01.09 Other breads (e.g. garlic, pitta)","004","3 persons","2015","2015","Euro","1.26"
"HS208","Average weekly household expenditure","01010109","01.01.01.09 Other breads (e.g. garlic, pitta)","006","4 persons","2015","2015","Euro","1.55"
"HS208","Average weekly household expenditure","01010109","01.01.01.09 Other breads (e.g. garlic, pitta)","007","5 persons","2015","2015","Euro","1.86"
"HS208","Average weekly household expenditure","01010109","01.01.01.09 Other breads (e.g. garlic, pitta)","0091","6 + Persons","2015","2015","Euro","1.97"
"HS208","Average weekly household expenditure","010102","01.01.02 Flour","-","All household sizes","2015","2015","Euro","0.22"
"HS208","Average weekly household expenditure","010102","01.01.02 Flour","001","1 person","2015","2015","Euro","0.12"
"HS208","Average weekly household expenditure","010102","01.01.02 Flour","003","2 persons","2015","2015","Euro","0.23"
"HS208","Average weekly household expenditure","010102","01.01.02 Flour","004","3 persons","2015","2015","Euro","0.21"
"HS208","Average weekly household expenditure","010102","01.01.02 Flour","006","4 persons","2015","2015","Euro","0.26"
"HS208","Average weekly household expenditure","010102","01.01.02 Flour","007","5 persons","2015","2015","Euro","0.33"
"HS208","Average weekly household expenditure","010102","01.01.02 Flour","0091","6 + Persons","2015","2015","Euro","0.31"
"HS208","Average weekly household expenditure","010103","01.01.03 Pastries and biscuits","-","All household sizes","2015","2015","Euro","6.22"
"HS208","Average weekly household expenditure","010103","01.01.03 Pastries and biscuits","001","1 person","2015","2015","Euro","3.38"
"HS208","Average weekly household expenditure","010103","01.01.03 Pastries and biscuits","003","2 persons","2015","2015","Euro","5.42"
"HS208","Average weekly household expenditure","010103","01.01.03 Pastries and biscuits","004","3 persons","2015","2015","Euro","6.53"
"HS208","Average weekly household expenditure","010103","01.01.03 Pastries and biscuits","006","4 persons","2015","2015","Euro","8.28"
"HS208","Average weekly household expenditure","010103","01.01.03 Pastries and biscuits","007","5 persons","2015","2015","Euro","9.4"
"HS208","Average weekly household expenditure","010103","01.01.03 Pastries and biscuits","0091","6 + Persons","2015","2015","Euro","11.4"
"HS208","Average weekly household expenditure","01010301","01.01.03.01 Fruit cake","-","All household sizes","2015","2015","Euro","0.18"
"HS208","Average weekly household expenditure","01010301","01.01.03.01 Fruit cake","001","1 person","2015","2015","Euro","0.19"
"HS208","Average weekly household expenditure","01010301","01.01.03.01 Fruit cake","003","2 persons","2015","2015","Euro","0.19"
"HS208","Average weekly household expenditure","01010301","01.01.03.01 Fruit cake","004","3 persons","2015","2015","Euro","0.17"
"HS208","Average weekly household expenditure","01010301","01.01.03.01 Fruit cake","006","4 persons","2015","2015","Euro","0.14"
"HS208","Average weekly household expenditure","01010301","01.01.03.01 Fruit cake","007","5 persons","2015","2015","Euro","0.14"
"HS208","Average weekly household expenditure","01010301","01.01.03.01 Fruit cake","0091","6 + Persons","2015","2015","Euro","0.28"
"HS208","Average weekly household expenditure","01010302","01.01.03.02 Swiss rolls and chocolate logs","-","All household sizes","2015","2015","Euro","0.09"
"HS208","Average weekly household expenditure","01010302","01.01.03.02 Swiss rolls and chocolate logs","001","1 person","2015","2015","Euro","0.07"
"HS208","Average weekly household expenditure","01010302","01.01.03.02 Swiss rolls and chocolate logs","003","2 persons","2015","2015","Euro","0.08"
"HS208","Average weekly household expenditure","01010302","01.01.03.02 Swiss rolls and chocolate logs","004","3 persons","2015","2015","Euro","0.1"
"HS208","Average weekly household expenditure","01010302","01.01.03.02 Swiss rolls and chocolate logs","006","4 persons","2015","2015","Euro","0.08"
"HS208","Average weekly household expenditure","01010302","01.01.03.02 Swiss rolls and chocolate logs","007","5 persons","2015","2015","Euro","0.09"
"HS208","Average weekly household expenditure","01010302","01.01.03.02 Swiss rolls and chocolate logs","0091","6 + Persons","2015","2015","Euro","0.2"
"HS208","Average weekly household expenditure","01010303","01.01.03.03 Small cakes and buns","-","All household sizes","2015","2015","Euro","1.45"
"HS208","Average weekly household expenditure","01010303","01.01.03.03 Small cakes and buns","001","1 person","2015","2015","Euro","0.82"
"HS208","Average weekly household expenditure","01010303","01.01.03.03 Small cakes and buns","003","2 persons","2015","2015","Euro","1.28"
"HS208","Average weekly household expenditure","01010303","01.01.03.03 Small cakes and buns","004","3 persons","2015","2015","Euro","1.63"
"HS208","Average weekly household expenditure","01010303","01.01.03.03 Small cakes and buns","006","4 persons","2015","2015","Euro","1.89"
"HS208","Average weekly household expenditure","01010303","01.01.03.03 Small cakes and buns","007","5 persons","2015","2015","Euro","2.08"
"HS208","Average weekly household expenditure","01010303","01.01.03.03 Small cakes and buns","0091","6 + Persons","2015","2015","Euro","2.27"
"HS208","Average weekly household expenditure","01010304","01.01.03.04 Large fresh cakes or fruit pies/tarts","-","All household sizes","2015","2015","Euro","0.88"
"HS208","Average weekly household expenditure","01010304","01.01.03.04 Large fresh cakes or fruit pies/tarts","001","1 person","2015","2015","Euro","0.52"
"HS208","Average weekly household expenditure","01010304","01.01.03.04 Large fresh cakes or fruit pies/tarts","003","2 persons","2015","2015","Euro","0.78"
"HS208","Average weekly household expenditure","01010304","01.01.03.04 Large fresh cakes or fruit pies/tarts","004","3 persons","2015","2015","Euro","0.82"
"HS208","Average weekly household expenditure","01010304","01.01.03.04 Large fresh cakes or fruit pies/tarts","006","4 persons","2015","2015","Euro","1.24"
"HS208","Average weekly household expenditure","01010304","01.01.03.04 Large fresh cakes or fruit pies/tarts","007","5 persons","2015","2015","Euro","1.24"
"HS208","Average weekly household expenditure","01010304","01.01.03.04 Large fresh cakes or fruit pies/tarts","0091","6 + Persons","2015","2015","Euro","1.44"
"HS208","Average weekly household expenditure","01010305","01.01.03.05 Other bakery products (e.g. pancakes, vol-au-vents)","-","All household sizes","2015","2015","Euro","0.24"
"HS208","Average weekly household expenditure","01010305","01.01.03.05 Other bakery products (e.g. pancakes, vol-au-vents)","001","1 person","2015","2015","Euro","0.09"
"HS208","Average weekly household expenditure","01010305","01.01.03.05 Other bakery products (e.g. pancakes, vol-au-vents)","003","2 persons","2015","2015","Euro","0.2"
"HS208","Average weekly household expenditure","01010305","01.01.03.05 Other bakery products (e.g. pancakes, vol-au-vents)","004","3 persons","2015","2015","Euro","0.28"
"HS208","Average weekly household expenditure","01010305","01.01.03.05 Other bakery products (e.g. pancakes, vol-au-vents)","006","4 persons","2015","2015","Euro","0.33"
"HS208","Average weekly household expenditure","01010305","01.01.03.05 Other bakery products (e.g. pancakes, vol-au-vents)","007","5 persons","2015","2015","Euro","0.41"
"HS208","Average weekly household expenditure","01010305","01.01.03.05 Other bakery products (e.g. pancakes, vol-au-vents)","0091","6 + Persons","2015","2015","Euro","0.47"
"HS208","Average weekly household expenditure","01010306","01.01.03.06 Dairy desserts - not frozen (e.g. cheesecake)","-","All household sizes","2015","2015","Euro","0.33"
"HS208","Average weekly household expenditure","01010306","01.01.03.06 Dairy desserts - not frozen (e.g. cheesecake)","001","1 person","2015","2015","Euro","0.17"
"HS208","Average weekly household expenditure","01010306","01.01.03.06 Dairy desserts - not frozen (e.g. cheesecake)","003","2 persons","2015","2015","Euro","0.36"
"HS208","Average weekly household expenditure","01010306","01.01.03.06 Dairy desserts - not frozen (e.g. cheesecake)","004","3 persons","2015","2015","Euro","0.36"
"HS208","Average weekly household expenditure","01010306","01.01.03.06 Dairy desserts - not frozen (e.g. cheesecake)","006","4 persons","2015","2015","Euro","0.4"
"HS208","Average weekly household expenditure","01010306","01.01.03.06 Dairy desserts - not frozen (e.g. cheesecake)","007","5 persons","2015","2015","Euro","0.38"
"HS208","Average weekly household expenditure","01010306","01.01.03.06 Dairy desserts - not frozen (e.g. cheesecake)","0091","6 + Persons","2015","2015","Euro","0.57"
"HS208","Average weekly household expenditure","01010307","01.01.03.07 Ready made desserts","-","All household sizes","2015","2015","Euro","0.1"
"HS208","Average weekly household expenditure","01010307","01.01.03.07 Ready made desserts","001","1 person","2015","2015","Euro","0.06"
"HS208","Average weekly household expenditure","01010307","01.01.03.07 Ready made desserts","003","2 persons","2015","2015","Euro","0.12"
"HS208","Average weekly household expenditure","01010307","01.01.03.07 Ready made desserts","004","3 persons","2015","2015","Euro","0.11"
"HS208","Average weekly household expenditure","01010307","01.01.03.07 Ready made desserts","006","4 persons","2015","2015","Euro","0.11"
"HS208","Average weekly household expenditure","01010307","01.01.03.07 Ready made desserts","007","5 persons","2015","2015","Euro","0.11"
"HS208","Average weekly household expenditure","01010307","01.01.03.07 Ready made desserts","0091","6 + Persons","2015","2015","Euro","0.14"
"HS208","Average weekly household expenditure","01010308","01.01.03.08 Cake and bread mixes","-","All household sizes","2015","2015","Euro","0.05"
"HS208","Average weekly household expenditure","01010308","01.01.03.08 Cake and bread mixes","001","1 person","2015","2015","Euro","0.01"
"HS208","Average weekly household expenditure","01010308","01.01.03.08 Cake and bread mixes","003","2 persons","2015","2015","Euro","0.04"
"HS208","Average weekly household expenditure","01010308","01.01.03.08 Cake and bread mixes","004","3 persons","2015","2015","Euro","0.08"
"HS208","Average weekly household expenditure","01010308","01.01.03.08 Cake and bread mixes","006","4 persons","2015","2015","Euro","0.07"
"HS208","Average weekly household expenditure","01010308","01.01.03.08 Cake and bread mixes","007","5 persons","2015","2015","Euro","0.08"
"HS208","Average weekly household expenditure","01010308","01.01.03.08 Cake and bread mixes","0091","6 + Persons","2015","2015","Euro","0.13"
"HS208","Average weekly household expenditure","01010309","01.01.03.09 Chocolate biscuits","-","All household sizes","2015","2015","Euro","0.81"
"HS208","Average weekly household expenditure","01010309","01.01.03.09 Chocolate biscuits","001","1 person","2015","2015","Euro","0.45"
"HS208","Average weekly household expenditure","01010309","01.01.03.09 Chocolate biscuits","003","2 persons","2015","2015","Euro","0.7"
"HS208","Average weekly household expenditure","01010309","01.01.03.09 Chocolate biscuits","004","3 persons","2015","2015","Euro","0.87"
"HS208","Average weekly household expenditure","01010309","01.01.03.09 Chocolate biscuits","006","4 persons","2015","2015","Euro","1.02"
"HS208","Average weekly household expenditure","01010309","01.01.03.09 Chocolate biscuits","007","5 persons","2015","2015","Euro","1.26"
"HS208","Average weekly household expenditure","01010309","01.01.03.09 Chocolate biscuits","0091","6 + Persons","2015","2015","Euro","1.64"
"HS208","Average weekly household expenditure","01010310","01.01.03.10 Sweet biscuits and cereal bars","-","All household sizes","2015","2015","Euro","1.45"
"HS208","Average weekly household expenditure","01010310","01.01.03.10 Sweet biscuits and cereal bars","001","1 person","2015","2015","Euro","0.72"
"HS208","Average weekly household expenditure","01010310","01.01.03.10 Sweet biscuits and cereal bars","003","2 persons","2015","2015","Euro","1.19"
"HS208","Average weekly household expenditure","01010310","01.01.03.10 Sweet biscuits and cereal bars","004","3 persons","2015","2015","Euro","1.39"
"HS208","Average weekly household expenditure","01010310","01.01.03.10 Sweet biscuits and cereal bars","006","4 persons","2015","2015","Euro","2.04"
"HS208","Average weekly household expenditure","01010310","01.01.03.10 Sweet biscuits and cereal bars","007","5 persons","2015","2015","Euro","2.41"
"HS208","Average weekly household expenditure","01010310","01.01.03.10 Sweet biscuits and cereal bars","0091","6 + Persons","2015","2015","Euro","3.14"
"HS208","Average weekly household expenditure","01010311","01.01.03.11 Cream crackers and unsweetened biscuits","-","All household sizes","2015","2015","Euro","0.64"
"HS208","Average weekly household expenditure","01010311","01.01.03.11 Cream crackers and unsweetened biscuits","001","1 person","2015","2015","Euro","0.25"
"HS208","Average weekly household expenditure","01010311","01.01.03.11 Cream crackers and unsweetened biscuits","003","2 persons","2015","2015","Euro","0.47"
"HS208","Average weekly household expenditure","01010311","01.01.03.11 Cream crackers and unsweetened biscuits","004","3 persons","2015","2015","Euro","0.72"
"HS208","Average weekly household expenditure","01010311","01.01.03.11 Cream crackers and unsweetened biscuits","006","4 persons","2015","2015","Euro","0.96"
"HS208","Average weekly household expenditure","01010311","01.01.03.11 Cream crackers and unsweetened biscuits","007","5 persons","2015","2015","Euro","1.2"
"HS208","Average weekly household expenditure","01010311","01.01.03.11 Cream crackers and unsweetened biscuits","0091","6 + Persons","2015","2015","Euro","1.13"
"HS208","Average weekly household expenditure","010104","01.01.04 Breakfast cereals","-","All household sizes","2015","2015","Euro","1.82"
"HS208","Average weekly household expenditure","010104","01.01.04 Breakfast cereals","001","1 person","2015","2015","Euro","0.83"
"HS208","Average weekly household expenditure","010104","01.01.04 Breakfast cereals","003","2 persons","2015","2015","Euro","1.45"
"HS208","Average weekly household expenditure","010104","01.01.04 Breakfast cereals","004","3 persons","2015","2015","Euro","1.77"
"HS208","Average weekly household expenditure","010104","01.01.04 Breakfast cereals","006","4 persons","2015","2015","Euro","2.64"
"HS208","Average weekly household expenditure","010104","01.01.04 Breakfast cereals","007","5 persons","2015","2015","Euro","3.22"
"HS208","Average weekly household expenditure","010104","01.01.04 Breakfast cereals","0091","6 + Persons","2015","2015","Euro","4.01"
"HS208","Average weekly household expenditure","01010401","01.01.04.01 Corn based breakfast cereals","-","All household sizes","2015","2015","Euro","0.21"
"HS208","Average weekly household expenditure","01010401","01.01.04.01 Corn based breakfast cereals","001","1 person","2015","2015","Euro","0.11"
"HS208","Average weekly household expenditure","01010401","01.01.04.01 Corn based breakfast cereals","003","2 persons","2015","2015","Euro","0.16"
"HS208","Average weekly household expenditure","01010401","01.01.04.01 Corn based breakfast cereals","004","3 persons","2015","2015","Euro","0.19"
"HS208","Average weekly household expenditure","01010401","01.01.04.01 Corn based breakfast cereals","006","4 persons","2015","2015","Euro","0.28"
"HS208","Average weekly household expenditure","01010401","01.01.04.01 Corn based breakfast cereals","007","5 persons","2015","2015","Euro","0.41"
"HS208","Average weekly household expenditure","01010401","01.01.04.01 Corn based breakfast cereals","0091","6 + Persons","2015","2015","Euro","0.47"
"HS208","Average weekly household expenditure","01010402","01.01.04.02 Rice based breakfast cereals","-","All household sizes","2015","2015","Euro","0.1"
"HS208","Average weekly household expenditure","01010402","01.01.04.02 Rice based breakfast cereals","001","1 person","2015","2015","Euro","0.02"
"HS208","Average weekly household expenditure","01010402","01.01.04.02 Rice based breakfast cereals","003","2 persons","2015","2015","Euro","0.05"
"HS208","Average weekly household expenditure","01010402","01.01.04.02 Rice based breakfast cereals","004","3 persons","2015","2015","Euro","0.11"
"HS208","Average weekly household expenditure","01010402","01.01.04.02 Rice based breakfast cereals","006","4 persons","2015","2015","Euro","0.17"
"HS208","Average weekly household expenditure","01010402","01.01.04.02 Rice based breakfast cereals","007","5 persons","2015","2015","Euro","0.24"
"HS208","Average weekly household expenditure","01010402","01.01.04.02 Rice based breakfast cereals","0091","6 + Persons","2015","2015","Euro","0.25"
"HS208","Average weekly household expenditure","01010403","01.01.04.03 Wheat based breakfast cereals","-","All household sizes","2015","2015","Euro","0.56"
"HS208","Average weekly household expenditure","01010403","01.01.04.03 Wheat based breakfast cereals","001","1 person","2015","2015","Euro","0.27"
"HS208","Average weekly household expenditure","01010403","01.01.04.03 Wheat based breakfast cereals","003","2 persons","2015","2015","Euro","0.45"
"HS208","Average weekly household expenditure","01010403","01.01.04.03 Wheat based breakfast cereals","004","3 persons","2015","2015","Euro","0.54"
"HS208","Average weekly household expenditure","01010403","01.01.04.03 Wheat based breakfast cereals","006","4 persons","2015","2015","Euro","0.81"
"HS208","Average weekly household expenditure","01010403","01.01.04.03 Wheat based breakfast cereals","007","5 persons","2015","2015","Euro","0.97"
"HS208","Average weekly household expenditure","01010403","01.01.04.03 Wheat based breakfast cereals","0091","6 + Persons","2015","2015","Euro","1.15"
"HS208","Average weekly household expenditure","01010404","01.01.04.04 Oat based breakfast cereals","-","All household sizes","2015","2015","Euro","0.35"
"HS208","Average weekly household expenditure","01010404","01.01.04.04 Oat based breakfast cereals","001","1 person","2015","2015","Euro","0.23"
"HS208","Average weekly household expenditure","01010404","01.01.04.04 Oat based breakfast cereals","003","2 persons","2015","2015","Euro","0.36"
"HS208","Average weekly household expenditure","01010404","01.01.04.04 Oat based breakfast cereals","004","3 persons","2015","2015","Euro","0.36"
"HS208","Average weekly household expenditure","01010404","01.01.04.04 Oat based breakfast cereals","006","4 persons","2015","2015","Euro","0.41"
"HS208","Average weekly household expenditure","01010404","01.01.04.04 Oat based breakfast cereals","007","5 persons","2015","2015","Euro","0.45"
"HS208","Average weekly household expenditure","01010404","01.01.04.04 Oat based breakfast cereals","0091","6 + Persons","2015","2015","Euro","0.51"
"HS208","Average weekly household expenditure","01010405","01.01.04.05 Muesli","-","All household sizes","2015","2015","Euro","0.21"
"HS208","Average weekly household expenditure","01010405","01.01.04.05 Muesli","001","1 person","2015","2015","Euro","0.09"
"HS208","Average weekly household expenditure","01010405","01.01.04.05 Muesli","003","2 persons","2015","2015","Euro","0.22"
"HS208","Average weekly household expenditure","01010405","01.01.04.05 Muesli","004","3 persons","2015","2015","Euro","0.22"
"HS208","Average weekly household expenditure","01010405","01.01.04.05 Muesli","006","4 persons","2015","2015","Euro","0.28"
"HS208","Average weekly household expenditure","01010405","01.01.04.05 Muesli","007","5 persons","2015","2015","Euro","0.28"
"HS208","Average weekly household expenditure","01010405","01.01.04.05 Muesli","0091","6 + Persons","2015","2015","Euro","0.38"
"HS208","Average weekly household expenditure","01010406","01.01.04.06 Sweetened breakfast cereals","-","All household sizes","2015","2015","Euro","0.31"
"HS208","Average weekly household expenditure","01010406","01.01.04.06 Sweetened breakfast cereals","001","1 person","2015","2015","Euro","0.09"
"HS208","Average weekly household expenditure","01010406","01.01.04.06 Sweetened breakfast cereals","003","2 persons","2015","2015","Euro","0.13"
